round,district,party,name,voterate,election,series
7,전남,민중당,이성수,4.9,낙선,진보
7,서울,더불어민주당,박원순,52.79,당선,민주
7,서울,자유한국당,김문수,23.34,낙선,자유
7,서울,바른미래당,안철수,19.55,낙선,자유
7,서울,정의당,김종민,1.64,낙선,진보
7,서울,녹색당,신지예,1.67,낙선,진보
7,경기,더불어민주당,이재명,56.4,당선,민주
7,경기,자유한국당,남경필,35.51,낙선,자유
7,경기,바른미래당,김영환,4.81,낙선,자유
7,경기,정의당,이홍우,2.54,낙선,진보
